user_id	movie_id	rating	date
196	242	3	1997-12-04
186	302	3	1998-04-04
22	377	1	1997-11-07
244	51	2	1997-11-27
166	346	1	1998-02-02
298	474	4	1998-01-07
115	265	2	1997-12-03
253	465	5	1998-04-03
305	451	3	1998-02-01
6	86	3	1997-12-31
62	257	2	1997-11-12
286	1014	5	1997-11-17
200	222	5	1997-10-05
210	40	3	1998-03-27
224	29	3	1998-02-22
303	785	3	1997-11-14
122	387	5	1997-11-11
194	274	2	1997-11-14
291	1042	4	1997-09-21
234	1184	2	1998-04-09
119	392	4	1998-01-30
167	486	4	1998-04-16
299	144	4	1997-10-26
291	118	2	1997-09-21
308	1	4	1998-02-17
95	546	2	1997-11-10
38	95	5	1998-04-13
102	768	2	1998-01-02
63	277	4	1997-10-02
160	234	5	1997-10-14
50	246	3	1997-10-17
301	98	4	1997-12-14
225	193	4	1997-11-14
290	88	4	1997-11-28
97	194	3	1998-01-08
157	274	4	1998-02-07
181	1081	1	1997-11-08
278	603	5	1998-03-31
276	796	1	1997-09-20
7	32	4	1998-03-31
10	16	4	1997-10-26
284	304	4	1998-01-20
201	979	2	1998-01-06
276	564	3	1997-09-20
287	327	5	1997-09-27
246	201	5	1998-01-16
242	1137	5	1997-11-17
249	241	5	1997-11-16
99	4	5	1998-02-03
178	332	3	1997-12-22
251	100	4	1998-01-31
81	432	2	1997-10-11
260	322	4	1998-03-23
25	181	5	1998-01-26
59	196	5	1998-02-23
72	679	2	1997-11-20
87	384	4	1997-11-18
290	143	5	1997-11-25
42	423	5	1997-12-03
292	515	4	1997-12-03
115	20	3	1997-12-03
20	288	1	1997-11-16
201	219	4	1998-01-06
13	526	3	1997-12-15
246	919	4	1998-01-16
138	26	5	1997-11-08
167	232	1	1998-04-16
60	427	5	1997-12-28
57	304	5	1998-01-02
223	274	4	1998-04-02
189	512	4	1998-04-22
243	15	3	1997-11-20
92	1049	1	1998-03-18
246	416	3	1998-01-16
194	165	4	1997-11-14
241	690	2	1998-02-12
178	248	4	1997-12-22
254	1444	3	1998-02-03
293	5	3	1998-03-03
127	229	5	1998-01-09
225	237	5	1997-11-14
299	229	3	1997-10-30
225	480	5	1997-11-14
276	54	3	1997-09-20
291	144	5	1997-09-21
222	366	4	1997-10-30
267	518	5	1997-11-08
42	403	3	1997-12-03
11	111	4	1998-04-07
95	625	4	1998-03-03
8	338	4	1997-11-12
162	25	4	1997-10-23
87	1016	4	1997-11-18
279	154	5	1997-09-26
145	275	2	1998-01-23
119	1153	5	1997-09-20
62	498	4	1997-11-12
62	382	3	1997-11-12
28	209	4	1997-12-12
135	23	4	1997-11-18
32	294	3	1998-01-02
90	382	5	1998-04-01
286	208	4	1997-10-22
293	685	3	1998-03-03
216	144	4	1997-11-22
166	328	5	1998-02-02
250	496	4	1997-10-29
271	132	5	1998-01-26
160	174	5	1997-10-14
265	118	4	1997-09-27
198	498	3	1998-01-07
42	96	5	1997-12-03
168	151	5	1998-01-08
110	307	4	1998-02-09
58	144	4	1998-01-09
90	648	4	1998-04-01
271	346	4	1998-01-26
62	21	3	1997-11-12
279	832	3	1997-12-06
237	514	4	1997-11-13
94	789	4	1998-04-04
128	485	3	1997-11-19
298	317	4	1998-01-07
44	195	5	1997-11-01
264	200	5	1998-01-30
194	385	2	1997-11-14
72	195	5	1997-11-20
222	750	5	1998-01-03
250	264	3	1997-10-29
41	265	3	1998-03-23
224	245	3	1998-02-21
82	135	3	1997-11-05
262	1147	4	1997-11-17
293	471	3	1998-03-03
216	658	3	1997-11-23
250	140	3	1997-10-29
59	23	5	1998-02-23
286	379	5	1997-10-22
244	815	4	1997-11-27
7	479	4	1998-03-31
174	368	1	1998-02-02
87	274	4	1997-11-18
194	1211	2	1997-11-15
82	1134	2	1998-01-13
13	836	2	1997-12-14
13	272	4	1998-01-11
244	756	2	1997-11-27
305	427	5	1998-02-01
95	787	2	1998-03-03
43	14	2	1998-01-05
299	955	4	1998-03-10
57	419	3	1998-01-02
84	405	3	1997-12-30
269	504	4	1998-04-01
299	111	3	1997-10-26
194	466	4	1997-11-14
160	135	4	1997-10-14
99	268	3	1998-01-24
10	486	4	1997-10-26
259	117	4	1997-09-20
85	427	3	1997-11-13
303	919	4	1997-11-14
213	273	5	1997-11-07
121	514	3	1998-04-01
90	98	5	1998-04-01
49	559	2	1998-02-21
42	794	3	1997-12-03
155	323	2	1997-11-12
68	117	4	1997-10-16
172	177	4	1997-09-29
19	4	4	1998-01-21
268	231	4	1997-10-02
5	2	3	1997-09-30
305	117	2	1998-02-01
44	294	4	1998-01-01
43	137	4	1997-10-04
279	1336	1	1997-09-26
80	466	5	1998-02-13
254	164	4	1998-02-03
298	281	3	1998-01-07
279	1240	1	1998-04-10
66	298	4	1997-12-31
18	443	3	1997-11-21
268	1035	2	1997-09-29
99	79	4	1998-01-24
13	98	4	1997-12-07
26	258	3	1998-03-31
7	455	4	1998-03-31
222	755	4	1997-10-30
200	673	5	1998-01-07
119	328	4	1997-10-15
213	172	5	1997-11-08
276	322	3	1997-09-20
94	1217	3	1998-04-04
130	379	4	1997-10-02
38	328	4	1998-04-13
160	719	3	1997-10-14
293	1267	3	1998-03-03
26	930	2	1998-04-01
130	216	4	1997-09-25
92	1079	3	1998-02-02
256	452	4	1997-12-15
1	61	4	1997-11-03
72	48	4	1997-11-20
56	755	3	1998-04-18
13	360	4	1997-12-15
15	405	2	1997-11-13
92	77	3	1997-09-30
207	476	2	1998-01-09
292	174	5	1997-12-03
232	483	5	1998-02-27
251	748	2	1998-01-31
224	26	3	1998-02-22
181	220	4	1997-11-08
259	255	4	1997-09-20
305	471	4	1998-02-01
52	280	3	1997-12-24
161	202	5	1998-03-29
148	408	5	1997-10-21
125	235	2	1998-04-17
97	228	5	1998-01-08
58	1098	4	1998-01-09
83	234	4	1998-02-16
90	347	4	1998-04-01
272	178	5	1997-11-13
194	181	3	1997-11-14
125	478	4	1997-11-13
110	688	1	1998-02-09
299	14	4	1997-10-26
151	10	5	1997-11-14
269	127	4	1998-04-01
6	14	5	1997-12-31
54	106	3	1997-12-01
303	69	5	1997-11-14
16	944	1	1997-10-24
301	790	4	1997-12-14
276	1091	3	1997-09-21
305	214	2	1998-02-01
194	1028	2	1997-11-14
91	323	2	1998-04-01
87	554	4	1997-11-18
294	109	4	1997-10-26
286	171	4	1997-10-22
200	318	5	1998-01-07
229	328	1	1998-04-03
178	568	4	1997-12-22
303	842	2	1997-11-14
62	65	4	1997-11-12
207	591	3	1997-10-05
92	172	4	1997-09-30
301	401	4	1997-12-14
36	339	5	1997-12-15
70	746	3	1998-01-07
63	242	3	1997-10-02
28	201	3	1997-12-12
279	68	4	1997-09-26
250	7	4	1997-10-29
14	98	3	1998-03-26
299	1018	3	1998-03-10
194	54	3	1997-11-14
303	815	3	1997-11-14
119	237	5	1997-09-20
295	218	5	1997-11-19
268	930	2	1997-10-01
268	2	2	1997-10-02
66	258	4	1997-12-31
233	202	5	1997-11-13
83	623	4	1997-11-23
214	334	3	1998-04-02
192	476	2	1997-12-06
100	344	4	1998-03-31
268	145	1	1997-10-02
301	56	4	1997-12-14
307	89	5	1997-11-11
234	141	3	1998-04-12
83	576	4	1997-11-23
181	264	2	1997-11-08
297	133	4	1997-09-26
38	153	5	1998-04-13
7	382	4	1998-03-31
264	813	4	1998-01-30
181	872	1	1997-11-08
201	146	1	1998-01-07
85	507	4	1997-11-13
269	367	3	1998-04-01
59	468	3	1998-02-23
286	143	4	1998-03-11
193	96	1	1998-03-05
113	595	5	1997-10-04
292	11	5	1997-12-03
130	1014	3	1997-10-07
275	98	4	1997-09-25
189	520	5	1998-04-22
219	82	1	1998-03-09
218	209	5	1997-10-22
123	427	3	1997-11-18
119	222	5	1997-09-20
158	177	4	1997-11-21
222	118	4	1997-10-23
302	322	2	1997-11-13
279	501	3	1997-09-26
301	79	5	1997-12-14
