user_id	movie_id	rating	date
877	381	4	1997-12-21
815	602	3	1997-11-05
94	431	4	1998-04-04
416	875	2	1997-10-13
500	182	2	1998-01-04
259	1074	3	1997-09-20
598	286	5	1998-02-05
886	496	4	1997-10-05
837	15	3	1997-10-01
521	184	4	1998-01-11
459	864	4	1997-11-15
622	568	4	1997-12-20
655	1197	3	1998-02-14
128	99	4	1997-11-19
308	31	3	1998-02-17
930	286	3	1997-11-14
43	14	2	1998-01-05
42	176	3	1997-12-03
450	618	4	1997-12-17
521	568	3	1998-01-11
698	176	4	1998-02-01
13	476	2	1997-12-15
796	82	3	1998-04-15
308	492	3	1998-02-17
322	303	3	1998-02-12
276	408	5	1997-09-20
537	483	4	1998-01-29
933	180	5	1997-09-21
852	109	3	1998-03-27
416	156	5	1998-04-22
859	1281	3	1998-01-26
892	2	4	1998-02-04
378	979	3	1997-11-24
350	214	3	1997-12-17
393	1165	3	1998-03-12
240	245	4	1998-01-26
13	326	3	1997-12-15
165	651	5	1997-11-14
184	95	4	1998-03-14
296	45	5	1998-01-07
213	318	5	1997-11-08
217	684	5	1998-03-05
515	682	4	1998-02-16
487	38	2	1998-01-06
416	257	3	1997-10-13
455	77	4	1997-11-09
712	1091	3	1997-09-22
748	647	3	1997-11-13
313	230	3	1998-03-27
77	636	2	1998-01-14
474	276	5	1998-02-19
373	386	3	1997-10-17
312	519	5	1998-04-04
919	1086	4	1997-09-26
698	205	4	1998-02-01
629	187	5	1997-11-21
868	234	4	1997-10-17
899	934	3	1998-01-06
847	240	1	1997-11-07
59	742	3	1998-02-23
634	547	4	1997-10-27
516	431	3	1998-03-30
357	273	5	1997-11-08
883	1448	5	1998-04-04
533	195	4	1997-11-13
666	204	3	1997-11-21
387	569	2	1998-02-03
716	235	2	1997-11-17
503	182	3	1997-11-25
328	810	3	1998-01-17
26	1015	3	1998-03-31
533	845	4	1997-12-23
611	324	3	1998-04-03
303	26	4	1997-11-14
327	219	4	1998-02-17
301	1016	4	1997-12-14
577	28	5	1997-11-25
749	628	4	1997-11-06
727	1446	3	1998-01-02
589	288	5	1997-12-29
399	395	3	1997-12-17
766	568	2	1998-03-31
235	100	4	1998-03-11
861	83	5	1997-12-04
648	428	2	1998-01-15
938	289	1	1998-03-31
593	278	3	1997-10-01
837	111	4	1997-10-01
916	271	3	1997-11-29
410	269	5	1998-02-28
634	1142	3	1997-10-16
721	175	5	1997-10-18
381	473	5	1998-04-16
120	125	4	1998-03-10
848	647	5	1998-02-09
854	121	1	1997-12-22
896	190	5	1998-02-11
539	610	4	1997-11-17
268	11	4	1997-09-26
185	50	4	1997-12-31
747	844	4	1998-02-28
526	298	4	1998-01-24
667	182	5	1998-03-27
717	125	4	1998-01-12
49	919	5	1998-02-21
592	1281	3	1997-12-20
330	195	3	1997-10-11
189	381	3	1998-04-22
83	845	3	1997-11-23
904	762	2	1997-11-17
705	97	3	1997-12-30
846	1210	2	1998-01-04
851	1059	3	1997-10-01
764	9	4	1997-10-07
868	214	3	1997-10-17
886	172	5	1997-10-05
823	68	3	1997-11-02
449	276	5	1997-11-19
59	106	4	1998-02-23
634	1197	4	1997-10-01
10	700	4	1997-10-26
543	737	3	1997-09-21
905	1051	2	1998-01-16
450	1115	4	1997-12-17
463	740	4	1997-10-21
463	1033	2	1998-03-22
429	1109	2	1997-12-17
406	234	4	1997-11-17
318	414	4	1998-01-11
560	1333	3	1997-11-19
429	559	3	1997-12-17
327	268	4	1998-02-17
427	990	5	1997-11-16
483	230	5	1997-11-08
911	428	4	1998-04-17
405	1590	1	1998-01-23
227	741	3	1997-11-09
870	284	2	1997-09-23
493	262	3	1998-01-07
320	11	4	1998-01-14
161	654	3	1998-03-29
128	1063	2	1997-11-19
698	50	5	1998-02-01
125	1	4	1997-11-13
555	1054	3	1997-11-19
509	309	2	1997-12-31
2	290	3	1998-02-27
679	69	4	1998-01-11
880	931	3	1997-11-23
83	28	4	1997-11-23
880	780	3	1997-11-22
446	300	3	1997-11-17
171	346	4	1998-03-27
6	463	4	1997-12-31
772	272	5	1998-03-04
631	288	3	1998-02-26
293	419	3	1998-03-03
305	59	3	1998-02-01
563	233	4	1997-11-26
348	411	4	1998-02-03
524	301	4	1998-01-09
693	855	2	1998-01-05
682	202	4	1998-02-26
427	989	5	1997-11-16
326	397	3	1997-11-18
350	429	4	1997-12-17
437	466	2	1997-12-01
291	572	3	1997-09-21
660	797	2	1998-03-29
132	251	4	1998-03-30
177	12	5	1997-11-21
42	469	4	1997-12-03
883	435	4	1998-04-04
843	528	3	1997-11-13
544	312	2	1998-01-14
935	313	5	1998-01-10
329	1011	3	1998-04-04
908	56	4	1997-11-17
627	318	5	1997-11-14
417	118	4	1997-11-16
622	64	5	1997-12-21
532	915	4	1998-04-07
293	133	3	1998-03-03
577	55	3	1997-11-25
303	1511	3	1997-11-14
425	362	3	1998-03-19
896	1183	2	1998-02-11
85	380	4	1997-12-24
589	333	5	1997-12-29
556	209	5	1997-12-14
689	109	5	1997-10-12
345	333	3	1998-01-15
806	121	4	1997-12-17
391	222	2	1997-10-21
754	117	4	1997-11-13
452	197	5	1998-01-26
758	43	3	1997-12-13
663	1324	3	1998-03-10
533	4	3	1998-03-02
470	137	3	1997-11-10
402	7	4	1997-10-08
411	527	4	1998-04-17
487	404	4	1997-12-30
26	222	3	1998-03-31
379	554	4	1997-11-26
151	173	5	1997-11-14
222	49	3	1997-10-30
496	155	1	1997-10-05
200	141	4	1998-01-07
726	1028	2	1998-03-14
314	218	4	1997-10-26
64	2	3	1998-03-12
270	25	5	1997-10-16
19	325	4	1998-01-21
406	367	4	1997-11-21
532	938	3	1998-04-14
26	249	2	1998-03-31
578	294	3	1998-03-03
283	412	5	1997-11-12
13	909	5	1998-03-24
195	373	3	1997-09-25
100	344	4	1998-03-31
279	405	3	1998-01-28
62	286	3	1997-11-12
90	739	5	1998-04-01
665	33	2	1998-01-08
531	1316	4	1998-02-09
109	797	3	1997-11-26
385	191	2	1997-11-13
207	631	2	1997-10-26
782	1609	1	1998-04-02
537	70	4	1998-01-29
552	932	3	1997-11-11
62	14	4	1997-11-12
11	399	3	1998-04-07
339	276	4	1998-03-27
255	569	1	1997-12-27
336	13	3	1997-10-25
633	651	3	1997-10-19
160	117	4	1997-10-13
316	180	4	1997-11-30
416	301	5	1998-04-22
754	292	3	1997-11-13
488	845	3	1998-03-30
380	1404	2	1998-01-22
188	118	3	1997-09-24
394	578	2	1997-11-30
152	241	4	1998-01-05
929	172	4	1997-11-16
387	192	5	1998-02-03
833	1210	1	1997-11-18
116	343	2	1997-12-04
504	623	3	1998-02-19
447	27	3	1997-11-06
654	258	4	1998-02-19
653	521	4	1997-11-06
385	474	5	1997-12-07
815	524	4	1997-11-05
520	690	5	1998-01-19
868	158	1	1997-10-17
645	59	5	1998-04-08
798	993	3	1997-09-29
449	285	5	1997-11-19
193	508	4	1998-03-05
771	768	4	1997-11-27
176	293	5	1998-01-29
585	923	5	1998-03-30
396	323	4	1998-01-12
328	736	3	1998-01-17
385	874	3	1997-11-13
617	134	3	1998-01-03
653	211	1	1997-11-21
184	529	4	1998-03-14
763	879	3	1997-11-07
638	29	2	1997-10-13
54	340	4	1998-03-23
22	154	4	1997-11-07
591	508	4	1998-03-28
846	396	5	1998-01-04
393	1244	3	1998-02-17
577	739	3	1997-11-25
515	1430	3	1998-02-16
406	357	4	1997-11-13
666	111	3	1997-11-23
883	922	5	1998-04-04
345	12	5	1998-01-15
6	519	5	1997-12-31
561	64	3	1998-01-26
883	732	3	1998-04-04
567	527	3	1997-12-18
617	567	2	1998-01-03
85	482	4	1997-11-13
164	333	5	1998-03-09
40	303	4	1998-03-04
937	137	3	1997-10-13
405	656	1	1998-01-23
456	238	4	1997-12-06
655	912	3	1998-04-06
223	620	2	1998-04-02
560	845	3	1997-11-19
337	222	5	1997-09-25
461	255	2	1998-01-21
344	313	3	1998-01-14
878	474	5	1997-11-30
892	229	3	1998-02-04
601	178	4	1997-10-09
734	294	1	1998-03-27
641	203	4	1997-11-12
334	1198	3	1998-04-02
72	476	4	1997-11-20
255	860	2	1997-12-27
429	288	3	1997-12-17
645	513	5	1998-04-08
342	724	1	1997-09-27
344	562	2	1998-02-02
230	51	4	1997-11-25
405	1274	1	1998-01-23
541	622	3	1998-01-04
790	226	3	1998-01-18
456	959	4	1997-12-06
281	301	3	1997-12-04
551	447	5	1998-04-17
833	1353	3	1997-09-23
442	68	3	1997-12-29
468	275	4	1997-09-26
846	565	2	1998-01-04
159	286	1	1997-11-25
856	307	4	1998-04-02
325	517	4	1998-04-02
363	443	4	1998-04-02
693	127	4	1997-09-28
502	261	2	1998-01-02
542	90	4	1998-02-03
682	683	2	1998-02-26
833	435	2	1997-10-28
405	1078	1	1998-01-23
138	602	4	1997-11-08
858	9	5	1997-12-01
797	948	1	1997-11-13
503	385	1	1997-11-25
643	154	4	1998-04-01
886	1048	4	1997-10-05
774	82	2	1998-02-27
82	9	4	1997-10-08
328	689	5	1998-01-17
721	199	4	1997-10-18
267	475	5	1997-11-08
327	89	4	1998-02-17
651	268	2	1997-11-21
378	300	4	1998-03-12
99	402	4	1998-01-24
486	281	3	1997-11-18
843	441	2	1997-11-13
56	1092	3	1998-04-18
892	661	5	1998-02-04
201	679	3	1998-01-09
916	70	4	1997-11-30
679	751	5	1998-01-09
859	475	4	1998-01-26
7	480	4	1998-03-31
690	80	3	1997-12-03
250	153	2	1997-10-29
728	100	5	1997-11-13
269	715	4	1998-04-01
588	552	1	1998-03-16
151	792	4	1997-11-14
188	218	5	1997-09-24
903	708	4	1998-03-27
178	480	3	1997-12-22
554	15	4	1997-10-07
773	145	3	1998-02-27
293	188	3	1998-03-03
249	408	5	1997-11-15
35	328	3	1997-09-28
64	284	4	1998-03-12
1	233	2	1997-11-03
763	96	2	1997-11-07
545	182	3	1997-12-26
153	568	4	1997-12-06
59	582	4	1998-02-23
870	302	4	1997-11-05
339	188	4	1998-03-27
536	493	4	1997-12-17
518	1114	2	1997-10-14
698	294	4	1998-02-01
1	159	3	1997-09-24
524	1074	2	1998-01-12
125	478	4	1997-11-13
28	117	4	1997-12-12
805	554	1	1997-12-09
303	574	1	1997-11-14
913	83	4	1997-12-10
823	1070	4	1997-11-02
140	258	3	1997-11-08
904	9	4	1997-11-17
378	241	4	1997-11-20
549	181	4	1997-12-09
60	609	3	1997-12-28
387	93	5	1998-02-03
771	216	5	1997-11-27
94	94	2	1998-04-04
328	692	4	1998-01-17
561	273	5	1998-01-26
405	1055	3	1998-01-23
152	411	4	1997-11-21
276	1074	3	1997-10-27
829	529	4	1997-12-09
864	11	5	1998-03-03
537	273	3	1998-01-29
42	403	3	1997-12-03
498	423	3	1997-12-12
13	50	5	1997-12-14
757	576	3	1998-02-26
305	143	3	1998-02-01
507	345	5	1998-03-15
798	746	4	1997-10-03
450	483	3	1997-12-17
435	413	2	1998-01-07
542	775	2	1998-02-03
663	763	5	1998-03-10
234	502	4	1998-04-12
588	423	3	1998-03-16
256	181	4	1997-12-15
387	210	4	1998-02-03
771	496	5	1997-11-27
661	298	3	1998-02-07
145	685	4	1997-09-26
839	1	4	1997-10-02
566	89	4	1997-12-09
312	100	4	1998-04-04
249	114	5	1997-11-15
450	588	4	1997-12-17
497	183	4	1997-11-12
110	808	2	1998-02-09
817	328	4	1997-09-21
255	826	1	1997-12-27
932	613	4	1998-03-30
224	239	4	1998-02-22
880	55	3	1997-11-22
234	241	2	1998-04-12
889	944	3	1997-11-22
97	28	5	1998-01-08
417	373	3	1997-12-01
119	12	3	1997-09-20
805	1065	5	1997-12-09
393	67	3	1998-03-12
524	32	4	1998-01-12
163	234	3	1998-03-30
774	217	2	1998-02-27
746	128	3	1998-01-17
6	64	4	1997-12-31
682	241	4	1998-02-26
304	111	3	1998-01-16
283	1009	3	1997-11-12
536	181	5	1997-12-17
942	234	4	1998-03-30
878	949	3	1997-11-30
94	172	4	1998-01-27
638	172	4	1997-10-13
153	323	2	1997-12-06
445	744	2	1998-03-29
178	298	2	1997-12-22
18	153	4	1997-11-21
303	1224	2	1997-11-14
840	183	5	1998-03-29
766	175	3	1998-03-31
425	2	2	1997-11-05
663	876	3	1998-03-10
918	89	5	1998-04-08
286	53	2	1997-10-22
194	739	3	1997-11-14
484	625	4	1998-03-29
877	451	4	1997-12-21
21	596	3	1997-09-22
894	1010	4	1997-12-01
741	732	4	1998-04-01
896	96	5	1998-02-11
708	846	2	1998-04-16
682	797	2	1998-02-26
174	14	5	1998-02-02
279	25	5	1997-09-26
230	204	4	1997-11-25
606	393	4	1997-11-30
715	216	4	1997-10-04
537	495	2	1998-01-29
64	433	2	1998-03-12
18	494	3	1997-11-21
796	236	4	1998-04-20
505	210	4	1998-03-08
144	298	3	1998-02-22
942	484	5	1998-03-30
430	222	4	1997-10-19
103	234	3	1997-11-25
798	204	4	1997-10-01
846	431	5	1998-01-04
880	172	5	1997-11-22
747	705	5	1998-02-28
826	1110	4	1998-01-25
765	286	5	1997-11-24
454	487	4	1998-02-23
639	427	4	1998-03-30
234	228	3	1998-04-09
617	606	3	1998-01-03
231	289	4	1998-02-27
805	65	3	1997-12-09
848	1065	2	1998-02-09
836	170	5	1998-01-25
311	750	5	1998-01-09
625	166	3	1998-04-07
269	170	2	1998-04-01
499	198	5	1998-01-24
394	73	3	1997-12-02
727	328	4	1998-01-02
498	187	4	1997-12-12
87	144	4	1997-11-18
327	265	2	1998-02-18
314	1210	4	1997-10-26
747	180	5	1998-02-28
795	1110	3	1997-12-27
405	642	1	1998-01-23
18	965	4	1997-11-21
600	720	3	1998-02-26
894	1007	3	1997-11-25
758	31	3	1997-12-13
357	123	4	1997-11-08
401	451	2	1998-03-27
